Week,Average,Company
9/3/2015,-2.903903594,microsoft
9/10/2015,-2.519398216,microsoft
9/17/2015,-0.903512663,microsoft
9/29/2015,-1.181274874,microsoft
10/7/2015,-0.152105268,microsoft
10/14/2015,-2.101988849,microsoft
10/23/2015,-0.68703779,microsoft
10/30/2015,-1.848005267,microsoft
11/9/2015,-3.635990897,microsoft
11/16/2015,-2.611720384,microsoft
11/23/2015,0.506654734,microsoft
12/3/2015,-1.827411398,microsoft
12/13/2015,-2.810181033,microsoft
12/29/2015,-0.981088571,microsoft
1/6/2016,-0.831965523,microsoft
1/13/2016,-1.271621592,microsoft
1/22/2016,-1.119520194,microsoft
1/29/2016,-0.278795527,microsoft
2/7/2016,-2.109887092,microsoft
2/16/2016,-0.977789151,microsoft
2/26/2016,-1.862025688,microsoft
3/4/2016,-3.270424822,microsoft
3/11/2016,-3.331008796,microsoft
3/18/2016,-3.1775887,microsoft
3/25/2016,-1.527131178,microsoft
4/1/2016,-1.029117042,microsoft
4/8/2016,-1.071112934,microsoft
4/15/2016,-0.592501069,microsoft
4/22/2016,0.072980351,microsoft
4/29/2016,-0.463359267,microsoft
5/6/2016,-1.216195297,microsoft
5/14/2016,-3.788901748,microsoft
5/21/2016,-5.192480573,microsoft
5/28/2016,-2.853146825,microsoft
6/4/2016,-0.431568407,microsoft
6/11/2016,0.825286734,microsoft
6/20/2016,-1.111287488,microsoft
6/27/2016,-0.918214184,microsoft
7/4/2016,-2.452204059,microsoft
7/12/2016,1.054768805,microsoft
7/19/2016,-1.540754446,microsoft
7/27/2016,-1.278211777,microsoft
8/5/2016,1.162537399,microsoft
8/12/2016,-3.067635382,microsoft
8/21/2016,-3.602993015,microsoft
8/28/2016,-1.557432289,microsoft
9/6/2016,-2.561125603,microsoft
9/14/2016,-2.513683472,microsoft
9/21/2016,-0.37524431,microsoft
9/28/2016,-4.18976271,microsoft
10/5/2016,-4.320620549,microsoft
10/12/2016,-0.292062829,microsoft
10/19/2016,0.656561883,microsoft
10/26/2016,-3.958798148,microsoft
11/2/2016,-0.500376034,microsoft
11/10/2016,-3.750819429,microsoft
11/18/2016,-1.537442162,microsoft
11/26/2016,-3.152516796,microsoft
12/4/2016,-1.337211405,microsoft
12/11/2016,-0.81036207,microsoft
12/18/2016,-0.775676383,microsoft
12/28/2016,-8.509957973,microsoft
1/7/2017,-1.012099206,microsoft
1/16/2017,-1.186072612,microsoft
1/25/2017,-2.294225365,microsoft
2/2/2017,-0.524658862,microsoft
2/11/2017,-4.394112484,microsoft
2/20/2017,-2.037207264,microsoft
2/27/2017,-1.857968452,microsoft
3/7/2017,-3.391421242,microsoft
3/14/2017,-1.366950244,microsoft
3/23/2017,-0.66395971,microsoft
3/30/2017,-0.226881306,microsoft
4/6/2017,-2.062801602,microsoft
4/14/2017,0,microsoft
2/18/2015,-2.047619491,netflix
2/27/2015,-0.949862341,netflix
3/6/2015,0.150725899,netflix
3/19/2015,-2.683781278,netflix
3/30/2015,-0.944126564,netflix
4/6/2015,-3.402008163,netflix
4/14/2015,0.210641407,netflix
4/21/2015,-1.442610283,netflix
4/28/2015,-0.434039415,netflix
5/5/2015,1.515824675,netflix
5/14/2015,-1.48830833,netflix
5/21/2015,1.362088536,netflix
5/28/2015,-0.449579388,netflix
6/4/2015,3.472687767,netflix
6/11/2015,0.239488275,netflix
6/19/2015,-1.064358505,netflix
6/26/2015,-0.489700187,netflix
7/3/2015,-1.35958584,netflix
7/10/2015,0.093484903,netflix
7/19/2015,-0.49339889,netflix
7/26/2015,-0.61828765,netflix
8/2/2015,-0.464010257,netflix
8/10/2015,-0.376493,netflix
8/17/2015,-0.3564535,netflix
8/24/2015,-0.690072657,netflix
8/31/2015,-0.055479033,netflix
9/7/2015,-2.544769618,netflix
9/14/2015,-3.261949695,netflix
9/21/2015,-1.019272318,netflix
10/3/2015,-1.152671406,netflix
10/10/2015,-3.119945287,netflix
10/20/2015,-2.789141572,netflix
10/27/2015,-0.155582172,netflix
11/4/2015,1.694747695,netflix
11/11/2015,0.573784518,netflix
11/18/2015,-0.20261564,netflix
11/25/2015,-0.317920769,netflix
12/2/2015,-0.333679422,netflix
12/9/2015,-1.48862358,netflix
12/16/2015,-2.843633848,netflix
12/26/2015,-2.278271341,netflix
1/2/2016,-1.165867803,netflix
1/9/2016,-0.791615715,netflix
1/16/2016,-0.640635584,netflix
1/23/2016,-0.413614887,netflix
1/30/2016,-1.036464444,netflix
2/6/2016,-0.414697432,netflix
2/13/2016,0.628347664,netflix
2/20/2016,-1.976873897,netflix
2/27/2016,-0.685121649,netflix
3/8/2016,0.200958282,netflix
3/15/2016,-1.479491528,netflix
3/22/2016,0.274488013,netflix
3/29/2016,-3.018419749,netflix
4/5/2016,-0.169712276,netflix
4/12/2016,-2.116801238,netflix
4/19/2016,-1.324257856,netflix
4/26/2016,0.369669341,netflix
5/4/2016,0.716483813,netflix
5/11/2016,-1.084544559,netflix
5/18/2016,-0.469647217,netflix
5/25/2016,-1.139334741,netflix
6/1/2016,-1.684191328,netflix
6/8/2016,-0.143617729,netflix
6/15/2016,-1.929408831,netflix
6/24/2016,1.045707543,netflix
7/1/2016,-1.774886295,netflix
7/8/2016,-1.56893471,netflix
7/15/2016,-0.807377579,netflix
7/22/2016,-0.011481309,netflix
7/30/2016,-0.897545731,netflix
8/9/2016,-0.564228216,netflix
8/16/2016,1.087696359,netflix
8/23/2016,0.109608463,netflix
8/30/2016,-0.732573904,netflix
9/6/2016,-0.31672899,netflix
9/13/2016,-1.641737523,netflix
9/20/2016,-1.816441449,netflix
9/27/2016,-0.577975619,netflix
10/4/2016,-1.464340022,netflix
10/11/2016,0.139879637,netflix
10/18/2016,-2.941559526,netflix
10/25/2016,-0.022736863,netflix
11/1/2016,0.213979875,netflix
11/10/2016,0.089934406,netflix
11/17/2016,-0.739912546,netflix
11/24/2016,-0.318885188,netflix
12/1/2016,0.366143586,netflix
12/8/2016,-0.273009627,netflix
12/15/2016,-0.678967575,netflix
12/22/2016,-0.838666406,netflix
12/29/2016,0.261945205,netflix
1/6/2017,-0.336406297,netflix
1/13/2017,-1.674027247,netflix
1/20/2017,-0.240598949,netflix
1/27/2017,-0.11370033,netflix
2/3/2017,-2.90939056,netflix
2/10/2017,-3.354339069,netflix
2/18/2017,0.364897538,netflix
2/27/2017,-0.40560955,netflix
3/6/2017,-1.390840711,netflix
3/13/2017,0.134921884,netflix
3/20/2017,-0.541171721,netflix
3/27/2017,-1.058826376,netflix
4/3/2017,-1.171535658,netflix
4/10/2017,-2.056427927,netflix
4/17/2017,-2.409388655,netflix
2/18/2015,-3.054076772,nvidia
1/8/2016,-0.780031201,nvidia
3/30/2016,-1.34529148,nvidia
5/3/2016,-3.278688525,nvidia
5/19/2016,1.740812379,nvidia
9/11/2016,-0.354904412,nvidia
11/6/2016,0.525210084,nvidia
12/12/2016,-6.060606061,nvidia
12/28/2016,1.648351648,nvidia
2/9/2017,0,nvidia
2/18/2015,-2.969481973,twitter
2/25/2015,-4.01194493,twitter
3/4/2015,-4.089040875,twitter
3/11/2015,-4.627620173,twitter
3/18/2015,-3.491174101,twitter
3/25/2015,-3.34903236,twitter
