¥éËDate,Close,,Open,High,Low,Volume
7/15/16,53.7,,53.95,54,53.21,32024385
7/18/16,53.96,,53.7,54.34,53.55,31433864
7/19/16,53.09,,53.71,53.9,52.93,53336533
7/20/16,55.91,5.31%,56.15,56.84,55.53,89893301
7/21/16,55.8,,55.98,56.23,55.76,32776653
7/22/16,56.57,,56.08,56.63,55.78,32157167
7/25/16,56.73,,56.47,56.74,56.26,25610587
7/26/16,56.76,1.52%,56.52,57.29,56.51,28078995
7/27/16,56.19,,56.61,56.8,56.11,32327477
7/28/16,56.21,,56,56.37,55.72,37550411
7/29/16,56.68,,56.26,56.76,56.05,30558718
8/1/16,56.58,,56.6,56.75,56.14,26003419
8/2/16,56.58,1.20%,56.85,56.9,56.31,35121958
8/3/16,56.97,,56.68,57.11,56.49,22075616
8/4/16,57.39,,56.8,57.52,56.67,26587749
8/5/16,57.96,,57.65,58.21,57.45,29335221
8/8/16,58.06,,58.06,58.08,57.78,19473499
8/9/16,58.2,,58.17,58.5,58.02,16920721
8/10/16,58.02,,58.16,58.32,57.82,15756913
8/11/16,58.3,,58.03,58.45,58.03,18162301
8/12/16,57.94,,58.03,58.19,57.62,21655161
8/15/16,58.12,,58.01,58.5,57.96,19283902
8/16/16,57.44,,57.61,57.62,57.27,20523493
8/17/16,57.56,,57.54,57.68,57.23,18856423
8/18/16,57.6,,57.42,57.7,57.27,14214341
8/19/16,57.62,,57.43,57.73,57.2,17271044
8/22/16,57.67,,57.6,57.75,57.26,15221922
8/23/16,57.89,,57.9,58.18,57.85,18732373
8/24/16,57.95,,57.8,58.04,57.72,18151506
8/25/16,58.17,,57.88,58.29,57.78,18552579
8/26/16,58.03,,58.28,58.7,57.69,20971202
8/29/16,58.1,,58.18,58.6,58.1,16417207
8/30/16,57.89,,57.98,58.19,57.61,16930185
8/31/16,57.46,,57.65,57.8,57.3,20860269
9/1/16,57.59,,57.01,57.82,57.01,26075363
9/2/16,57.67,,57.67,58.19,57.42,18900489
9/6/16,57.61,,57.78,57.8,57.21,16278416
9/7/16,57.66,,57.47,57.84,57.4,17493359
9/8/16,57.43,,57.63,57.79,57.18,20146083
9/9/16,56.21,,56.79,57.52,56.21,35113934
9/12/16,57.05,,56,57.2,55.61,29302962
9/13/16,56.53,,56.5,56.65,56.05,30130213
9/14/16,56.26,,56.39,56.63,56.03,24274273
9/15/16,57.19,,56.15,57.35,55.98,27062614
9/16/16,57.25,,57.63,57.63,56.75,44606965
9/19/16,56.93,,57.27,57.75,56.85,20937104
9/20/16,56.81,,57.35,57.35,56.75,17383982
9/21/16,57.76,,57.51,57.85,57.08,33707272
9/22/16,57.82,,57.92,58,57.63,19822203
9/23/16,57.43,,57.87,57.91,57.38,19955336
9/26/16,56.9,,57.08,57.14,56.83,21688720
9/27/16,57.95,,56.93,58.06,56.68,28065071
9/28/16,58.03,,57.88,58.06,57.67,20536400
9/29/16,57.4,,57.81,58.17,57.21,25463536
9/30/16,57.6,,57.57,57.77,57.34,29910788
10/3/16,57.42,,57.4,57.55,57.06,19189515
10/4/16,57.24,,57.27,57.6,56.97,20085874
10/5/16,57.64,,57.29,57.96,57.26,16726411
10/6/16,57.74,,57.74,57.86,57.28,16212611
10/7/16,57.8,,57.85,57.98,57.42,20089020
10/10/16,58.04,,57.91,58.39,57.87,18196509
10/11/16,57.19,,57.89,58.02,56.89,26497418
10/12/16,57.11,,57.11,57.27,56.4,22177464
10/13/16,56.92,,56.7,57.3,56.32,25313748
10/14/16,57.42,,57.12,57.74,57.12,27402451
10/17/16,57.22,,57.36,57.46,56.87,23830014
10/18/16,57.66,,57.53,57.94,57.41,19149538
10/19/16,57.53,,57.47,57.84,57.4,22878397
10/20/16,57.25,,57.5,57.52,56.66,49455612
10/21/16,59.66,4.21%,60.28,60.45,59.48,80032206
10/24/16,61,,59.94,61,59.93,54066978
10/25/16,60.99,,60.85,61.37,60.8,35137164
10/26/16,60.63,,60.81,61.2,60.47,29911608
10/27/16,60.1,0.74%,60.61,60.83,60.09,28479856
10/28/16,59.87,,60.01,60.52,59.58,33574684
10/31/16,59.92,,60.16,60.42,59.92,26434697
11/1/16,59.8,,59.97,60.02,59.25,24532986
11/2/16,59.43,,59.82,59.93,59.3,22147005
11/3/16,59.21,-0.75%,59.53,59.64,59.11,21600427
11/4/16,58.71,,58.65,59.28,58.52,28697016
11/7/16,60.42,,59.78,60.52,59.78,31664798
11/8/16,60.47,,60.55,60.78,60.15,22935355
11/9/16,60.17,,60,60.59,59.2,49632479
11/10/16,58.7,,60.48,60.49,57.63,57822394
11/11/16,59.02,,58.23,59.12,58.01,38767843
11/14/16,58.12,,59.02,59.08,57.28,41328422
11/15/16,58.87,,58.33,59.49,58.32,35904126
11/16/16,59.65,,58.94,59.66,58.81,27332475
11/17/16,60.64,,60.41,60.95,59.96,31463728
11/18/16,60.35,,60.78,61.14,60.3,27686311
11/21/16,60.86,,60.5,60.97,60.42,19652595
11/22/16,61.12,,60.98,61.26,60.8,23206700
11/23/16,60.4,,61.01,61.1,60.25,21848913
11/25/16,60.53,,60.3,60.53,60.13,8409616
11/28/16,60.61,,60.34,61.02,60.21,20732619
11/29/16,61.09,,60.65,61.41,60.52,22366721
11/30/16,60.26,,60.86,61.18,60.22,34655435
12/1/16,59.2,,60.11,60.15,58.94,34542121
12/2/16,59.25,,59.08,59.47,58.8,25515665
12/5/16,60.22,,59.7,60.58,59.56,23552658
12/6/16,59.95,,60.43,60.46,59.8,19907035
12/7/16,61.37,,60.01,61.38,59.8,30808969
12/8/16,61.01,,61.3,61.58,60.84,21220753
